feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_trend_start_score_ema_60,0.0052556337238975,0.0003309487421518,0.005619013296031,0.0049715059817357,3.0,3.0,15.832666482868298,0.5,5.668535522493463,trend_start,90.0,macro,75.0,False,False,False,False,True
astro_bullish_score_smooth_chg_21,0.0042350575992694,0.000310482847152,0.0044546021259328,0.0040155130726061,2.0,2.0,13.59643921965808,0.3333333333333333,4.843781083253368,bullish,14.0,swing,76.0,False,False,False,False,True
astro_compression_score_roll_min_30,0.0052438352694228,0.0003917472263191,0.0055208423896642,0.0049668281491816,2.0,2.0,13.351679956007011,0.3333333333333333,4.758518852043556,compression,90.0,macro,77.0,False,False,False,False,True
astro_bullish_score_smooth_sma_5,0.0043304943927589,0.0003251835983519,0.0045604339202842,0.0041005548652336,2.0,2.0,13.276248145642322,0.3333333333333333,4.731752382065249,bullish,3.0,timing,78.0,False,False,False,False,True
astro_bullish_score_sma_60,0.0068156041062092,0.0005244114511442,0.0071864189994453,0.0064447892129733,2.0,2.0,12.971936739037062,0.3333333333333333,4.626237433638789,bullish,90.0,macro,79.0,False,True,False,False,True
astro_bullish_score_smooth,0.0044577480715066,0.0003724430409345,0.0047211050713572,0.0041943910716561,2.0,2.0,11.936888850174258,0.3333333333333333,4.263027530122926,bullish,3.0,timing,80.0,False,False,False,False,True
astro_reversal_score_ema_60,0.005469690187693,0.0004799087759206,0.0058090369374974,0.0051303434378886,2.0,2.0,11.373654342702062,0.3333333333333333,4.066300229354132,reversal,90.0,macro,81.0,False,False,False,False,True
astro_bullish_score_smooth_roll_max_3,0.0044049466446971,0.0003890873154733,0.004680072923942,0.0041298203654523,2.0,2.0,11.292206821317397,0.3333333333333333,4.0373676994523,bullish,7.0,timing,82.0,False,False,False,False,True
astro_bullish_score_smooth_ema_60,0.0056888777319384,0.000558734267604,0.0060839625214426,0.0052937929424344,2.0,2.0,10.163533057016751,0.3333333333333333,3.642845454381973,bullish,90.0,macro,83.0,False,False,False,False,True
astro_trend_start_score_ema_5,0.0051422922832504,0.0005144850642261,0.0057357075609573,0.0048213233078754,3.0,3.0,9.975637782968755,0.5,3.6185301409523647,trend_start,14.0,swing,84.0,False,False,False,False,True
planet_volatility_Pluto,0.0048188947456955,0.0005921638332906,0.0054854049036933,0.0043534233196671,3.0,3.0,8.12405355020016,0.5,2.970346300468333,pluto,60.0,macro,85.0,False,False,False,False,True
astro_trend_end_score_ema_60,0.0057554952213407,0.0007129520785761,0.006380598087256,0.0049790090175215,3.0,3.0,8.061458736585312,0.5,2.948812755893396,trend_end,60.0,macro,86.0,False,False,False,False,True
astro_trend_start_score_sma_10,0.0052006162268137,0.0006636902353307,0.0059123666874645,0.0044849662168121,4.0,4.0,7.824120094416786,0.6666666666666666,2.907188946203267,trend_start,7.0,timing,87.0,False,False,False,False,True
astro_bearish_score_smooth_roll_min_30,0.0068014425477663,0.0009193339269156,0.0077502909149454,0.0057778676661937,4.0,4.0,7.390189961333124,0.6666666666666666,2.755953730152366,bearish,30.0,swing,88.0,False,True,False,False,True
astro_trend_start_score_roll_min_21,0.0062718079411971,0.0009495899799999,0.0073480442122377,0.0055520094633476,3.0,3.0,6.597805650336707,0.5,2.4367407007943265,trend_start,60.0,macro,89.0,False,True,False,False,True
astro_trend_start_score,0.0049552644994432,0.0007809852181547,0.0059324542538042,0.0040942289576254,4.0,4.0,6.336775151755325,0.6666666666666666,2.386520075580808,trend_start,14.0,swing,90.0,False,False,False,False,True
astro_bearish_score_smooth_sma_60,0.0059897877927241,0.0009468096909569,0.0072377511184086,0.0052162066836999,4.0,4.0,6.319610202208937,0.6666666666666666,2.380926152556884,bearish,90.0,macro,91.0,False,True,False,False,True
astro_trend_end_score_sma_60,0.0069982775013419,0.0011539671437343,0.0086279215697658,0.0059054026618546,4.0,4.0,6.0592870882148535,0.6666666666666666,2.290216458542402,trend_end,60.0,macro,92.0,False,True,False,False,True
astro_trend_start_score_roll_min_3,0.0052913655645161,0.0008878667038257,0.0063375260318007,0.0042754383290749,4.0,4.0,5.952934834595165,0.6666666666666666,2.2523104050007805,trend_start,30.0,swing,93.0,False,False,False,False,True
btc_return_7d,0.0069738248142,0.0011570419263865,0.0077919770064651,0.0061556726219349,2.0,2.0,6.022083186539103,0.3333333333333333,2.1938519785476998,other,3.0,timing,94.0,False,True,False,False,True
astro_trend_start_score_roll_max_30,0.0072783972282632,0.0012689256943886,0.0088173444751203,0.0062048128905905,4.0,4.0,5.731356771836392,0.6666666666666666,2.175552895700709,trend_start,30.0,swing,95.0,False,True,False,True,True
astro_trend_start_score_roll_max_5,0.0058093073114673,0.0009918604646405,0.0069479245196538,0.0051329925335646,3.0,3.0,5.851081313395093,0.5,2.1752021826128694,trend_start,14.0,swing,96.0,False,False,False,False,True
astro_reversal_score_roll_max_30,0.0056199950703155,0.0009555862129023,0.0062956965614671,0.0049442935791639,2.0,2.0,5.875053387257415,0.3333333333333333,2.141850016901554,reversal,90.0,macro,97.0,False,False,False,False,True
