audit_group,label,event_count,sample_count_7d,average_return_7d,median_return_7d,win_rate_7d,volatility_7d,max_gain_7d,max_loss_7d,sample_count_14d,average_return_14d,median_return_14d,win_rate_14d,volatility_14d,max_gain_14d,max_loss_14d,sample_count_30d,average_return_30d,median_return_30d,win_rate_30d,volatility_30d,max_gain_30d,max_loss_30d,old_signal,new_signal
signal_transition,Bearish -> Neutral,29,29,0.040831337694293326,0.005409700627834635,0.5172413793103449,0.09378293172955919,0.24551535170224015,-0.09645557871802235,29,0.100689878302465,0.05533720294645872,0.6551724137931034,0.1643707533068615,0.6540829131353658,-0.05931412158020777,29,0.1832673337947802,0.2159358917979055,0.7586206896551724,0.21809559197774236,0.7530713536683697,-0.13074287507391702,Bearish,Neutral
signal_transition,Bullish -> Neutral,42,42,0.00495439346044526,-0.01201576295636142,0.40476190476190477,0.09099482981132266,0.2529713825525812,-0.1708479173169729,42,-0.0016446634724018147,-0.006547279401444728,0.38095238095238093,0.09400152894346468,0.21648352030939066,-0.18622691023882,42,-0.009051574268530075,-0.01148339722352737,0.42857142857142855,0.1263898108569028,0.25429154085780614,-0.2182118189950678,Bullish,Neutral
signal_transition,Neutral -> Bearish,32,32,0.039760525685140505,5.214562038002857e-05,0.5,0.09913809110708861,0.3575416221599459,-0.06287705685008105,32,0.046917827871289786,-0.001562785296900182,0.5,0.12163521370381786,0.35120700340988664,-0.09837314284410159,32,0.08929503665821001,0.028439188578915253,0.5625,0.20223178307112621,0.6521784154429209,-0.2040429690498331,Neutral,Bearish
signal_transition,Neutral -> Bullish,38,38,0.01311573901837948,0.010773316528551846,0.5789473684210527,0.09584467895503238,0.27955739506341737,-0.2155402775218792,38,0.006253408310762131,-0.004577205132275386,0.47368421052631576,0.11634273975067269,0.47599160130267615,-0.1541349549464731,38,0.00032961144065756756,-0.015256362589185779,0.42105263157894735,0.17229820727645773,0.5227040283249378,-0.3301207552503881,Neutral,Bullish
turning_point_type,bearish_window_relief,29,29,0.054283905599702684,0.012506485574639292,0.5517241379310345,0.11283079047194473,0.3888948657162048,-0.09645557871802235,29,0.10747803860712486,0.05533720294645872,0.6551724137931034,0.16646987625505769,0.6540829131353658,-0.05931412158020777,29,0.1773891674161627,0.12732987108803528,0.7586206896551724,0.21722504797112266,0.7530713536683697,-0.13074287507391702,,
turning_point_type,bullish_window_break,40,40,0.009360813918186184,-0.009130400582264553,0.425,0.09055132552972513,0.2529713825525812,-0.1708479173169729,40,0.002204143664682559,-0.0025350223416216733,0.4,0.09462723864628486,0.21648352030939066,-0.18622691023882,40,-0.0030638519001342985,-0.005872009121607125,0.45,0.12575425676834415,0.25429154085780614,-0.2182118189950678,,
turning_point_type,momentum_breakdown_down,24,24,0.029569144876994465,0.02532873835701932,0.625,0.08724618932892396,0.24857223453849353,-0.1025460481085162,24,0.02881152875144419,0.012379240528098023,0.5833333333333334,0.11243499835580552,0.313158855337351,-0.12376785106744115,24,0.10384637514713668,0.0670136088836012,0.625,0.2918439788909408,1.2039180998144077,-0.23700511169684457,,
turning_point_type,momentum_breakout_up,28,28,-0.0057757940378215245,0.00310831883664775,0.5357142857142857,0.07188392048635486,0.16591062638741438,-0.20917206809331357,28,-0.0006238993144147632,0.0010340321218355042,0.5357142857142857,0.0937805237961646,0.26114100196114953,-0.2055845385554541,28,0.010585994891181736,-0.015555966702051949,0.4642857142857143,0.19007257049711299,0.42353508058631983,-0.3981014659263169,,
turning_point_type,momentum_neutral_cross,44,44,0.025803759783026202,0.01152859945873097,0.5454545454545454,0.1035753794261263,0.26942503701906384,-0.15230300102929062,44,0.03633503071401465,0.005415970306115958,0.5,0.1689723010626208,0.5844333521659482,-0.23541440632750155,44,0.05346084269648607,0.0036366727217912453,0.5227272727272727,0.24897283431857745,0.8914755607702625,-0.3112591061617781,,
turning_point_type,signal_flip,67,67,0.024684497574684633,0.008506344468089733,0.5522388059701493,0.09898501259748314,0.3575416221599459,-0.2155402775218792,67,0.026074769084732188,-0.0024627288227793143,0.4925373134328358,0.12300904137785332,0.47599160130267615,-0.1541349549464731,67,0.04333284682618414,-0.00021782984203111422,0.4925373134328358,0.19518492367345275,0.6521784154429209,-0.3301207552503881,,
