strategy_type,strategy_name,model,feature_set,horizon_days,train_window_days,test_window_days,prediction_start,prediction_end,selected_features,mae,rmse,directional_accuracy,accuracy,average_confidence_score,total_return,max_drawdown,return_drawdown_ratio,balanced_score,trades,buy_hold_return_same_period,buy_hold_max_drawdown_same_period,buy_hold_return_drawdown_ratio_same_period,buy_hold_balanced_score_same_period
return_forecast,Return Forecast 60D,RandomForestRegressor,selected_features,60,730,90,2016-10-06 00:00:00,2026-02-15 00:00:00,153.0,0.3335272547088941,0.4533369094057697,0.5213450292397661,0.5213450292397661,0.7122971917943182,8.183609353161593,-0.5328437788551451,15.358365205548036,4.8458109323773675,190,111.2117968851428,-0.8339900882218972,133.34906308329292,59.369451690669614
return_forecast,Return Forecast 30D,RandomForestRegressor,selected_features,30,730,90,2016-10-06 00:00:00,2026-02-15 00:00:00,153.0,0.21614021941475256,0.293274201890414,0.5207602339181286,0.5207602339181286,0.6769226973032638,3.6937268923541033,-0.4819268508145651,7.664496979387788,1.9494458889766038,180,111.2117968851428,-0.8339900882218972,133.34906308329292,59.369451690669614
return_forecast,Return Forecast 7D,RandomForestRegressor,selected_features,7,730,90,2016-10-06 00:00:00,2026-05-16 00:00:00,153.0,0.07433909174835268,0.10285208047097431,0.5111111111111111,0.5111111111111111,0.6210095937328927,1.144658805124279,-0.3362570271963804,3.404118613276673,0.043126116634628175,374,126.45311824205616,-0.8339900882218972,151.624245932778,67.59817014383825
return_forecast,Return Forecast 14D,RandomForestRegressor,selected_features,14,730,90,2016-10-06 00:00:00,2026-05-16 00:00:00,153.0,0.11845428655126349,0.1615841181350623,0.5113960113960114,0.5113960113960114,0.6306044982831801,0.776815068483864,-0.42044777034920644,1.8475899345088063,-0.4027111086717887,310,126.45311824205616,-0.8339900882218972,151.624245932778,67.59817014383825
benchmark,Production,RandomForestClassifier,selected_features,14,730,90,2016-10-06,2026-05-16,,,,0.5512820512820513,0.5512820512820513,,285.54441024370243,-0.8744050478407088,326.55851078266,149.93495507917314,206,126.45311824205616,-0.8339900882218972,151.624245932778,
benchmark,Regime-Aware V4,RandomForestClassifier,selected_features,7,730,90,2016-10-06,2026-05-16,,,,0.5404558404558405,0.5404558404558405,,455.7201609265903,-0.6723900078201858,677.7616496770747,271.4743210905864,239,126.45311824205616,-0.8339900882218972,151.624245932778,
benchmark,Buy & Hold,Spot BTC,selected_features,60,730,90,2016-10-06 00:00:00,2026-02-15 00:00:00,,,,,,,111.2117968851428,-0.8339900882218972,133.34906308329292,59.369451690669614,0,111.2117968851428,-0.8339900882218972,133.34906308329292,59.369451690669614
