feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_trend_start_score_sma_5,0.0052440499538845,0.0015307288960092,0.007000677154339,0.0041959523377868,3.0,3.0,3.4236149540218546,0.5,1.3253628538892028,trend_start,14.0,swing,122.0,False,False,False,True,True
astro_bullish_score_smooth_chg_30,0.0050852686111176,0.0014349436256928,0.0060999269794655,0.0040706102427698,2.0,2.0,3.541412434394043,0.3333333333333333,1.3248617928156954,bullish,14.0,swing,123.0,False,False,False,True,True
astro_trend_start_score_roll_max_3,0.0051111696316631,0.0014624975194009,0.0061453115451,0.0040770277182262,2.0,2.0,3.4924347762169927,0.3333333333333333,1.3077299728619458,trend_start,14.0,swing,124.0,False,False,False,True,True
buy_hold_drawdown,0.0119321096044556,0.0040788553784955,0.0168488056552212,0.007291620218497,6.0,6.0,2.924640335867863,1.0,1.2783969613955342,other,90.0,macro,125.0,False,True,True,True,True
astro_bearish_score_ema_60,0.0073428455515343,0.0024221176872833,0.0095724171597366,0.0047657287575494,3.0,3.0,3.0303297235912283,0.5,1.1885525414775435,bearish,90.0,macro,126.0,False,True,False,True,True
astro_trend_start_score_roll_max_21,0.0065114177165615,0.0024713941447485,0.0104595668733726,0.0038477954206184,6.0,6.0,2.6336487369507737,1.0,1.1743816250193952,trend_start,30.0,swing,127.0,False,True,True,True,True
astro_trend_start_score_roll_max_10,0.0057683310198592,0.0020132021445285,0.0087037093305673,0.0042208331905538,4.0,4.0,2.863829251462406,0.6666666666666666,1.1713142370864524,trend_start,14.0,swing,128.0,False,False,False,True,True
astro_compression_score_sma_60,0.0067776792756242,0.0023315028491208,0.0093096225120994,0.0047193358249056,3.0,3.0,2.9057539107310557,0.5,1.1447249404661188,compression,90.0,macro,129.0,False,True,False,True,True
astro_trend_end_score_roll_max_30,0.0064539030731304,0.0021725778045143,0.0079901475713579,0.004917658574903,2.0,2.0,2.96925330196431,0.3333333333333333,1.1251535502500938,trend_end,90.0,macro,130.0,False,True,False,True,True
astro_bullish_score_roll_max_30,0.0062827632754431,0.0023492878009479,0.0089294324925004,0.0044441523203839,3.0,3.0,2.67318890601782,0.5,1.0631292224164142,bullish,90.0,macro,131.0,False,True,False,True,True
planet_trend_start_Pluto,0.0067967947040533,0.0030796613764846,0.0112809051105126,0.0039553078002475,6.0,6.0,2.206277767473817,1.0,1.0249159364974574,pluto,90.0,macro,132.0,False,True,True,True,True
buy_hold_equity,0.0159312687843156,0.0073348081386236,0.0249918620035946,0.007670549579679,6.0,6.0,2.171712847891459,1.0,1.016472004275737,other,90.0,macro,134.0,False,True,True,True,True
astro_trend_start_score_chg_30,0.005510589359828,0.0022331292264284,0.0070896501791014,0.0039315285405546,2.0,2.0,2.4665490673686303,0.3333333333333333,0.9488297426562852,trend_start,14.0,swing,135.0,False,False,False,True,True
astro_bullish_score_smooth_roll_max_30,0.0077964235104719,0.0039210436106136,0.0121672423737837,0.0045880087785257,3.0,3.0,1.987847225710006,0.5,0.8238650984026908,bullish,90.0,macro,138.0,False,True,False,True,True
strategy_drawdown,0.0093562643732877,0.0053893490387295,0.0163257665081048,0.0046007670499928,5.0,5.0,1.735743697868757,0.8333333333333334,0.8195861333367134,other,60.0,macro,139.0,False,True,True,True,True
sun_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
moon_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
mercury_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
venus_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
mars_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
saturn_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
uranus_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
neptune_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
trine_strength,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
sextile_strength,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
square_strength,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
opposition_strength,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
moon_target_strength,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
asc_target_strength,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
