variant_key,constructive_drift,high_conviction_expansion,recovery_reversal_setup,transition_low_conviction,volatility_caution,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio,return_capture_ratio_vs_buy_hold,drawdown_improvement_points,overfit_risk,rank_sharpe,rank_sortino,rank_return_drawdown,rank_total_return
GRID_145,90.0,90.0,75.0,30.0,0.0,10.442265099455538,0.3902571633754297,-0.43612892197578446,1.2673638513763719,1.591847720706879,0.29396944976677164,0.4111111111111111,0.41137037037037033,91.75000000000001,375,23.943069522078915,0.5487608593380625,0.33021671510990636,Low,1.0,18.0,1.0,3.0
GRID_181,90.0,100.0,75.0,30.0,0.0,10.442265099455538,0.3902571633754297,-0.43612892197578446,1.2673638513763719,1.591847720706879,0.29396944976677164,0.4111111111111111,0.41137037037037033,91.75000000000001,375,23.943069522078915,0.5487608593380625,0.33021671510990636,Low,1.0,18.0,1.0,3.0
GRID_157,90.0,90.0,85.0,30.0,0.0,10.440088287014161,0.3902214057248503,-0.43612892197578457,1.26397141977697,1.5888269333643261,0.2949669045737437,0.4111111111111111,0.4137037037037037,91.75000000000001,375,23.93807830885802,0.5486464637108139,0.33021671510990624,Low,2.0,21.0,2.0,4.0
GRID_193,90.0,100.0,85.0,30.0,0.0,10.440088287014161,0.3902214057248503,-0.43612892197578457,1.26397141977697,1.5888269333643261,0.2949669045737437,0.4111111111111111,0.4137037037037037,91.75000000000001,375,23.93807830885802,0.5486464637108139,0.33021671510990624,Low,2.0,21.0,2.0,4.0
GRID_169,90.0,90.0,100.0,30.0,0.0,10.360087882732174,0.3889031707079287,-0.4361289219757848,1.2555292091195664,1.5786823265622014,0.29656352012829096,0.4111111111111111,0.41685185185185186,92.45000000000002,373,23.754645382833374,0.5444422905565177,0.330216715109906,Low,3.0,23.0,3.0,8.0
GRID_205,90.0,100.0,100.0,30.0,0.0,10.360087882732174,0.3889031707079287,-0.4361289219757848,1.2555292091195664,1.5786823265622014,0.29656352012829096,0.4111111111111111,0.41685185185185186,92.45000000000002,373,23.754645382833374,0.5444422905565177,0.330216715109906,Low,3.0,23.0,3.0,8.0
GRID_073,80.0,90.0,75.0,30.0,0.0,8.378223027109165,0.3533692277172269,-0.40374899768415895,1.2511320749716248,1.5778002960810802,0.2711913694656947,0.4111111111111111,0.38679629629629625,81.25,383,20.75106830026908,0.44029152911680924,0.36259663940153186,Low,4.0,24.0,10.0,39.0
GRID_109,80.0,100.0,75.0,30.0,0.0,8.378223027109165,0.3533692277172269,-0.40374899768415895,1.2511320749716248,1.5778002960810802,0.2711913694656947,0.4111111111111111,0.38679629629629625,81.25,383,20.75106830026908,0.44029152911680924,0.36259663940153186,Low,4.0,24.0,10.0,39.0
GRID_085,80.0,90.0,85.0,30.0,0.0,8.376438884512734,0.3533344188306229,-0.40374899768416017,1.2471324284283407,1.5738661915557668,0.272272371539416,0.4111111111111111,0.38912962962962966,81.65,382,20.74664936026752,0.4401977690355362,0.36259663940153064,Low,5.0,27.0,11.0,40.0
GRID_121,80.0,100.0,85.0,30.0,0.0,8.376438884512734,0.3533344188306229,-0.40374899768416017,1.2471324284283407,1.5738661915557668,0.272272371539416,0.4111111111111111,0.38912962962962966,81.65,382,20.74664936026752,0.4401977690355362,0.36259663940153064,Low,5.0,27.0,11.0,40.0
