variant_key,variant_label,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio,comparison_vs_buy_hold_total_return,comparison_vs_buy_hold_CAGR,comparison_vs_buy_hold_max_drawdown,comparison_vs_buy_hold_sharpe,comparison_vs_buy_hold_sortino,buy_hold_total_return,buy_hold_CAGR,buy_hold_max_drawdown,buy_hold_sharpe,buy_hold_sortino,return_capture_ratio_vs_buy_hold,drawdown_improvement_points
C_Trend_Preserving_v2,Trend-Preserving v2,12.02919178477695,0.41488233881421754,-0.5243635194275158,1.1670329706370557,1.549780210262203,0.3496137596179277,0.5014814814814815,0.4947962962962963,93.55,448,22.940558103489078,-6.999616341319031,-0.08467986840463393,0.241982117658175,0.19639590759219938,0.22751649928055717,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,0.6321568699975589,0.241982117658175
E_Recovery_Aggressive_v2,Recovery Aggressive v2,7.852456979004538,0.342854622722101,-0.45159889729049685,1.1396934044558922,1.5360469479905838,0.2973617923549366,0.5014814814814815,0.439925925925926,80.69999999999999,443,17.388122570975508,-11.176351147091443,-0.15670758449675048,0.31474673979519396,0.16905634141103587,0.2137832370089381,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,0.4126615249346979,0.31474673979519396
B_Upside_Capture_v2,Upside Capture v2,8.347176887824185,0.3527626939904014,-0.496839837368486,1.1081128712157169,1.5225264411277952,0.31825982186262636,0.5103703703703704,0.4827037037037037,79.7,446,16.800538644475527,-10.681631238271796,-0.14679951322845008,0.2695057997172048,0.13747580817086058,0.20026273014614948,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,0.438659995545224,0.2695057997172048
F_Balanced_v2,Balanced v2,7.686137901342104,0.33941594292988775,-0.47469142946897624,1.1078434536203505,1.5085850601964008,0.30593177095686613,0.5103703703703704,0.4583703703703703,77.05000000000001,449,16.19186154243477,-11.342670224753878,-0.16014626428896372,0.29165420761671457,0.13720639057549422,0.18632134921475507,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,0.4039211415874957,0.29165420761671457
A_Conservative_v1_Baseline,Conservative v1 Baseline,4.333801374070605,0.2539626752070452,-0.3931329196990815,1.0459992620936747,1.3874805786202729,0.24501389976510435,0.49962962962962965,0.36,84.4,459,11.023755978990152,-14.695006752025376,-0.2455995320118063,0.3732127173866093,0.07536219904881836,0.06521686763862711,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,0.22774949147378593,0.3732127173866093
D_Drawdown_Guard_v2,Drawdown Guard v2,6.244514153379539,0.30695463048877825,-0.4940938648774731,1.0091619429347372,1.207964136266873,0.31391769241184414,0.37222222222222223,0.41457407407407404,89.45,362,12.638315504945751,-12.784293972716442,-0.19260757673007323,0.2722517722082177,0.03852487988988085,-0.11429957471477281,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,0.3281610761956159,0.2722517722082177
BUY_HOLD,Buy & Hold,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,0.614694664276594,0.5103703703703704,1.0,0.0,0,24.830581927053142,0.0,0.0,0.0,0.0,0.0,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,1.0,0.0
