fold_id,feature_set,horizon_days,threshold_long,threshold_short,threshold_source,train_start,train_end,test_start,test_end,test_year,train_rows,test_rows,train_balanced_score,train_return_drawdown_ratio,train_total_return,train_max_drawdown,train_accuracy,train_trades,test_balanced_score,test_return_drawdown_ratio,test_total_return,test_max_drawdown,test_accuracy,test_trades,balanced_score_decay,accuracy_decay,return_dd_decay
1,selected_features,7,0.52,0.35,tuned,2014-10-17,2018-12-31,2019-01-01,2019-12-31,2019,1517,365,19767.17573139392,75816.41774847773,15342.9955326826,-0.20237035708523254,0.8239947264337508,128,-0.26759587341161184,0.2189584811928759,0.07435320183918193,-0.33957671533940614,0.5205479452054794,21,-19767.44332726733,-0.3034467812282714,-75816.19878999655
2,selected_features,7,0.52,0.35,tuned,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,1806,366,63345.8330436144,236503.90679675725,53480.501117387634,-0.2261294616301912,0.8006644518272426,154,6.603154850144411,23.500399079523884,3.1873548639076086,-0.13562981858826306,0.6202185792349727,13,-63339.22988876426,-0.18044587259226985,-236480.40639767773
3,selected_features,7,0.52,0.35,tuned,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,1827,365,127702.83323713858,489821.2856813565,99125.30849128377,-0.20237035708523243,0.776135741652983,151,0.8070260278293095,2.6336099916818028,1.4469359826427937,-0.5494116392377414,0.5589041095890411,10,-127702.02621111074,-0.21723163206394192,-489818.6520713648
4,selected_features,7,0.52,0.35,tuned,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,1826,365,648793.3953655796,2456384.7336453833,525051.3765965253,-0.21374964980234423,0.7864184008762322,153,-0.8930566535058397,-0.801514413333352,-0.29823805560331484,-0.3720931908922227,0.473972602739726,17,-648794.2884222332,-0.31244579813650614,-2456385.5351597965
5,selected_features,7,0.52,0.35,tuned,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,1826,365,10436.5697584978,41710.72457261288,6978.716757316092,-0.16731228787855423,0.7853231106243155,132,-0.026951918261971575,0.3012557609566999,0.041774820529600465,-0.13866895158099513,0.4520547945205479,17,-10436.596710416063,-0.33326831610376756,-41710.42331685193
6,selected_features,7,0.52,0.35,tuned,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,1826,366,7661.574610666682,30618.899593220987,5122.918143265537,-0.16731228787855423,0.7628696604600219,110,0.7782425603876646,2.366577541832672,0.46713560232040185,-0.1973886737548659,0.5027322404371585,15,-7660.796368106295,-0.26013742002286344,-30616.533015679153
7,selected_features,7,0.52,0.35,tuned,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,1827,365,11331.238430774429,45640.49099417983,7340.729530505103,-0.16083809289959672,0.7887246852764094,128,-0.9065747987290131,-0.7304040857388712,-0.2291367312777688,-0.3137122803002612,0.4575342465753425,21,-11332.145005573158,-0.3311904387010669,-45641.221398265574
8,selected_features,7,0.52,0.35,tuned,2021-01-01,2025-12-31,2026-01-01,2026-05-30,2026,1826,150,2416.1682622329968,8949.278257687009,2085.6394593327973,-0.23305113544115486,0.7732749178532311,140,-0.6840247735975895,-0.45714981623710904,-0.13034078610303956,-0.2851161292722383,0.48,12,-2416.8522870065945,-0.2932749178532311,-8949.735407503245
