strategy,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio,comparison_vs_buy_hold_total_return,comparison_vs_buy_hold_CAGR,comparison_vs_buy_hold_max_drawdown,comparison_vs_buy_hold_sharpe,comparison_vs_buy_hold_sortino
Allocation Strategy,4.333801374070605,0.2539626752070452,-0.3931329196990815,1.0459992620936747,1.3874805786202729,0.24501389976510435,0.49962962962962965,0.36,84.4,459,11.023755978990152,-14.695006752025376,-0.2455995320118063,0.3732127173866093,0.07536219904881836,0.06521686763862711
Buy & Hold,19.02880812609598,0.4995622072188515,-0.7663456370856908,0.9706370630448563,1.3222637109816457,0.614694664276594,0.5103703703703704,1.0,0.0,0,24.830581927053142,0.0,0.0,0.0,0.0,0.0
