feature_set,horizon_days,min_hold_days,long_probability_threshold,short_probability_threshold,threshold_source,vote_long_min,vote_short_max,total_return,max_drawdown,sharpe_like,return_drawdown_ratio,balanced_score,number_of_trades,long_signal_days,short_signal_days,flat_signal_days,avg_signal_vote_score,abs_avg_signal_vote_score,prediction_start,prediction_end,overall_rank,rank_within_horizon,summary_rank
selected_features,90,14,0.52,0.35,tuned,2,-2,2.391557157550852,-0.5858623996658265,0.5327496524966692,4.0821140918328025,0.8100243444233672,89,817,28,2665,2.192022792022792,2.625071225071225,2016-10-06,2026-05-16,1,1,1
selected_features,60,3,0.56,0.35,tuned,2,-2,-0.21981072809308222,-0.540436058911626,0.10265150541224448,-0.40672846392921097,-1.0249059579590138,119,575,69,2866,1.9393162393162393,2.398575498575499,2016-10-06,2026-05-16,4,1,2
selected_features,3,14,0.52,0.35,tuned,2,-2,0.07239856349122453,-0.7899030882096673,0.22240171486554244,0.09165499486186017,-1.067487692039405,99,931,95,2484,2.0094017094017094,2.549002849002849,2016-10-06,2026-05-16,5,1,3
selected_features,7,14,0.52,0.35,tuned,2,-2,-0.02808468720671753,-0.8052694602518385,0.19508376574070757,-0.034876135992956164,-1.1477081406661571,97,919,95,2496,1.9923076923076923,2.5376068376068375,2016-10-06,2026-05-16,7,1,4
selected_features,30,3,0.52,0.32,tuned,2,-2,-0.5477663994916635,-0.714198251246468,-0.053874830718887295,-0.7669668730435336,-1.4753272992659012,123,628,58,2824,2.0142450142450143,2.4205128205128204,2016-10-06,2026-05-16,11,1,5
selected_features,14,3,0.52,0.32,tuned,2,-2,-0.48823131460990987,-0.7489971928255894,-0.012378090812397926,-0.6518466548159665,-1.4754175481624923,129,646,78,2786,2.0085470085470085,2.58005698005698,2016-10-06,2026-05-16,12,1,6
