model,feature_set,horizon_days,train_window_days,test_window_days,long_probability_threshold,short_probability_threshold,threshold_source,ml_total_return,buy_hold_return_same_period,ml_max_drawdown,buy_hold_max_drawdown_same_period,ml_sharpe_like,buy_hold_sharpe_like,return_drawdown_ratio,balanced_score,number_of_trades,direction_accuracy,direction_precision,direction_recall,prediction_start,prediction_end
RandomForestClassifier,selected_features,14,730,90,0.52,0.32,tuned,285.54441024370243,126.45311824205616,-0.8744050478407088,-0.8339900882218972,1.328389026660803,1.0853516998376629,326.55851078266,149.93495507917314,206,0.5512820512820513,0.6038223140495868,0.5912999494183105,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,30,730,90,0.52,0.32,tuned,142.3835536251146,126.45311824205616,-0.780241069112165,-0.8339900882218972,1.1956069985546658,1.0853516998376629,182.48661761310848,78.28155072326001,187,0.5595441595441596,0.6048632218844985,0.6091836734693877,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,7,730,90,0.52,0.35,tuned,125.05005010604847,126.45311824205616,-0.7470458073520019,-0.8339900882218972,1.2336445826188156,1.0853516998376629,167.39274737288756,70.05353285111863,219,0.5541310541310541,0.5927116827438371,0.5787545787545788,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,60,730,90,0.56,0.35,tuned,121.67832492710401,126.45311824205616,-0.8365809266368022,-0.8339900882218972,1.1588820145854921,1.0853516998376629,145.44716602166824,64.64281322927377,155,0.5094017094017094,0.5654205607476636,0.6043956043956044,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,3,730,90,0.52,0.35,tuned,107.63866539695843,126.45311824205616,-0.7365043129946889,-0.8339900882218972,1.23701545604512,1.0853516998376629,146.14804488963617,60.59553361538719,219,0.5253561253561253,0.5705916813122437,0.5107498689040377,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,90,730,90,0.52,0.35,tuned,49.90328176459515,126.45311824205616,-0.9244380915832109,-0.8339900882218972,0.9762687445889501,1.0853516998376629,53.98228634124088,24.655588243753844,149,0.5886039886039887,0.6315551537070524,0.6895360315893386,2016-10-06,2026-05-16
