indicator,span,long_threshold,short_threshold,mode,total_return,buy_hold_return,cagr,buy_hold_cagr,max_drawdown,buy_hold_max_drawdown,sharpe_like,return_drawdown_ratio,number_of_trades,balanced_score
expansion_score,3,0.5,-0.5,long_short_balanced,249.16261647434476,167.6571261119022,0.6082494570455825,0.554608728723476,-0.8339900882218977,-0.8339900882218972,1.0748627138677576,298.7596855084574,21,60.23388224038368
expansion_score,3,0.5,-1.0,long_short_balanced,249.16261647434476,167.6571261119022,0.6082494570455825,0.554608728723476,-0.8339900882218977,-0.8339900882218972,1.0748627138677576,298.7596855084574,21,60.23388224038368
expansion_score,3,0.5,-1.5,long_short_balanced,249.16261647434476,167.6571261119022,0.6082494570455825,0.554608728723476,-0.8339900882218977,-0.8339900882218972,1.0748627138677576,298.7596855084574,21,60.23388224038368
expansion_score,5,0.5,-0.5,long_short_balanced,241.09433015344842,167.6571261119022,0.6037192134415259,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0701764467681718,289.08536631109354,21,58.28761478015301
expansion_score,5,0.5,-1.0,long_short_balanced,241.09433015344842,167.6571261119022,0.6037192134415259,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0701764467681718,289.08536631109354,21,58.28761478015301
expansion_score,5,0.5,-1.5,long_short_balanced,241.09433015344842,167.6571261119022,0.6037192134415259,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0701764467681718,289.08536631109354,21,58.28761478015301
expansion_score,30,0.5,-0.5,long_short_balanced,217.31989274990576,167.6571261119022,0.5895188780561464,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0536799836715844,260.5785078492253,15,52.5555941854603
expansion_score,30,0.5,-1.0,long_short_balanced,217.31989274990576,167.6571261119022,0.5895188780561464,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0536799836715844,260.5785078492253,15,52.5555941854603
expansion_score,30,0.5,-1.5,long_short_balanced,217.31989274990576,167.6571261119022,0.5895188780561464,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0536799836715844,260.5785078492253,15,52.5555941854603
expansion_score,8,0.5,-0.5,long_short_balanced,201.82431423392177,167.6571261119022,0.5794815963459041,0.554608728723476,-0.8339900882218972,-0.8339900882218972,1.0457525737165276,241.99845667736878,19,48.81154568269099
expansion_score,8,0.5,-1.0,long_short_balanced,201.82431423392177,167.6571261119022,0.5794815963459041,0.554608728723476,-0.8339900882218972,-0.8339900882218972,1.0457525737165276,241.99845667736878,19,48.81154568269099
expansion_score,8,0.5,-1.5,long_short_balanced,201.82431423392177,167.6571261119022,0.5794815963459041,0.554608728723476,-0.8339900882218972,-0.8339900882218972,1.0457525737165276,241.99845667736878,19,48.81154568269099
expansion_score,14,0.5,-0.5,long_short_balanced,191.50398539554533,167.6571261119022,0.5724000892469794,0.554608728723476,-0.8339900882218975,-0.8339900882218972,1.0381819162168457,229.62381459933178,17,46.320668924135894
expansion_score,14,0.5,-1.0,long_short_balanced,191.50398539554533,167.6571261119022,0.5724000892469794,0.554608728723476,-0.8339900882218975,-0.8339900882218972,1.0381819162168457,229.62381459933178,17,46.320668924135894
expansion_score,14,0.5,-1.5,long_short_balanced,191.50398539554533,167.6571261119022,0.5724000892469794,0.554608728723476,-0.8339900882218975,-0.8339900882218972,1.0381819162168457,229.62381459933178,17,46.320668924135894
expansion_score,10,0.5,-0.5,long_short_balanced,184.9437727798088,167.6571261119022,0.5677160225659057,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0337976287299364,221.75775874521105,19,44.73389747620615
expansion_score,10,0.5,-1.0,long_short_balanced,184.9437727798088,167.6571261119022,0.5677160225659057,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0337976287299364,221.75775874521105,19,44.73389747620615
expansion_score,10,0.5,-1.5,long_short_balanced,184.9437727798088,167.6571261119022,0.5677160225659057,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.0337976287299364,221.75775874521105,19,44.73389747620615
expansion_score,21,0.5,-0.5,long_short_balanced,173.22914965062526,167.6571261119022,0.5589626624906103,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.023271731786471,207.71128110162226,15,41.905832278866065
expansion_score,21,0.5,-1.0,long_short_balanced,173.22914965062526,167.6571261119022,0.5589626624906103,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.023271731786471,207.71128110162226,15,41.905832278866065
expansion_score,21,0.5,-1.5,long_short_balanced,173.22914965062526,167.6571261119022,0.5589626624906103,0.554608728723476,-0.8339900882218974,-0.8339900882218972,1.023271731786471,207.71128110162226,15,41.905832278866065
