taxonomy_v3,feature,feature_family,state_mean,overall_mean,differential,zscore_diff,abs_zscore_diff,direction
Constructive Drift,saturn_signal,planet,-0.4998812274673066,-0.3454055853015852,-0.1544756421657214,-0.24721088637902472,0.24721088637902472,negative
Constructive Drift,astro_compression_score,core_astro,0.4269276299559471,0.3371447095890411,0.089782920366906,0.2394443443488993,0.2394443443488993,positive
Constructive Drift,compression,raw_score,0.4269275862858676,0.3371446813236048,0.08978290496226277,0.23944430363316804,0.23944430363316804,positive
Constructive Drift,square_strength,aspect,1.7804502619345448,1.3447652496630629,0.43568501227148193,0.21749796689421658,0.21749796689421658,positive
Constructive Drift,mc_target_strength,natal_target,1.296794889496655,1.0266996518287785,0.27009523766787646,0.2048351976207312,0.2048351976207312,positive
Constructive Drift,raw_astro_total_strength,core_astro,7.663135994929591,7.022492508281154,0.640643486648437,0.1927208114349866,0.1927208114349866,positive
Constructive Drift,astro_bearish_score_smooth,core_astro,0.6151990013907089,0.5213405314051648,0.09385846998554415,0.18366797671765855,0.18366797671765855,positive
Constructive Drift,sun_target_strength,natal_target,0.5131978175006885,0.3366316033600925,0.17656621414059598,0.18236142405120231,0.18236142405120231,positive
Constructive Drift,astro_trend_end_score,core_astro,0.9203014096916299,0.8144697150684932,0.10583169462313669,0.17926669332791786,0.17926669332791786,positive
Constructive Drift,trend_end,raw_score,0.920301411236785,0.814469723949707,0.10583168728707804,0.17926667936948393,0.17926667936948393,positive
Constructive Drift,astro_bearish_score,core_astro,0.6154639427312775,0.5256251260273973,0.08983881670388016,0.16886909285069576,0.16886909285069576,positive
Constructive Drift,bearish,raw_score,0.6154639278335987,0.5256251280078961,0.08983879982570264,0.16886906396698848,0.16886906396698848,positive
Constructive Drift,house_activation_strength,core_astro,1.973568281938326,1.7380821917808216,0.23548609015750444,0.15085952445979478,0.15085952445979478,positive
Constructive Drift,raw_astro_event_count,core_astro,4.889867841409692,4.663013698630137,0.22685414277955473,0.1437075860472213,0.1437075860472213,positive
Constructive Drift,astro_bullish_score_smooth,core_astro,1.8130931762491362,1.6957888983958262,0.11730427785330999,0.12577678221008645,0.12577678221008645,positive
