feature_set,horizon_days,min_hold_days,regime_filter_mode,trend_confirmation_mode,volatility_filter_mode,reversal_filter_mode,long_probability_threshold,short_probability_threshold,threshold_source,signal_quality_entry_threshold,total_return,max_drawdown,sharpe_like,return_drawdown_ratio,balanced_score,number_of_trades,long_signal_days,short_signal_days,flat_signal_days,avg_signal_quality_score,abs_avg_signal_quality_score,avg_ml_quality_component,avg_momentum_quality_component,avg_trend_quality_component,avg_regime_quality_component,avg_reversal_penalty_component,avg_volatility_penalty_component,avg_compression_penalty_component,prediction_start,prediction_end,overall_rank,rank_within_horizon
selected_features,7,14,none,soft,soft,soft,0.52,0.35,tuned,1.15,1474.1596402038488,-0.643765237537166,1.6855852635291677,2289.902520744206,899.7396445053096,137,1957,140,1413,1.4947829573225853,1.8604477485933963,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,1,1
selected_features,90,14,strict,strict,none,none,0.52,0.35,tuned,1.15,1140.8785912211463,-0.836018609585385,1.4715621963337218,1364.656932441915,614.4189873614619,123,2527,528,455,2.3926158013234358,2.985619604398451,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,2,1
selected_features,7,14,none,none,soft,none,0.52,0.35,tuned,1.15,989.4064603175531,-0.676740165345044,1.5919028384346279,1462.0182323788813,588.648825357813,144,1965,206,1339,1.4482933926847896,1.8208995978461262,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,3,2
selected_features,7,14,none,soft,none,soft,0.52,0.35,tuned,1.15,974.3315595165941,-0.6615102747553048,1.5892977638062076,1472.8895327846617,586.3187407857986,144,2011,169,1330,1.6058232372133003,1.9568390301481968,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,4,3
selected_features,7,14,none,none,none,soft,0.52,0.35,tuned,1.15,979.2617157194826,-0.6800890359304461,1.6138308296248312,1439.902224537014,581.1956891187032,139,1949,177,1384,1.43070689640107,1.7781682512214443,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,5,4
selected_features,90,14,none,strict,none,none,0.52,0.35,tuned,1.15,1071.6687407168563,-0.8530003904999366,1.4767593739588012,1256.3519930966972,571.9936361271571,114,2461,487,562,2.337207623420738,2.9121706551762294,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,6,2
selected_features,7,7,none,none,none,none,0.52,0.35,tuned,1.15,888.6473742994318,-0.5969551229478703,1.5953313087737213,1488.6334669700686,563.7930777382293,170,1871,207,1432,1.514573024701901,1.9775483874304174,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,7,5
selected_features,7,14,none,soft,soft,none,0.52,0.35,tuned,1.15,876.0433525464384,-0.6263980269607161,1.5413837862773896,1398.54104713101,541.9737019816297,152,2011,247,1252,1.6230547736769263,2.0015987848293473,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,8,6
selected_features,90,14,none,strict,none,soft,0.52,0.35,tuned,1.15,1011.4707117914954,-0.8790436106364075,1.4700723618011762,1150.6490685475933,532.7507480603022,118,2383,434,693,2.1948822910849657,2.658900959365034,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,9,3
selected_features,90,14,soft,soft,soft,none,0.52,0.35,tuned,1.15,995.1716440688128,-0.8530254237937073,1.471508400663751,1166.6377300255963,531.0897853862533,119,2334,450,726,2.002036621311124,2.5512210126844974,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,10,4
