date,price,btc_return_1d,ml_prob_up_7d,ml_prob_up_14d,ml_prob_up_30d,ml_prob_up_60d,ml_position_raw_7d,ml_position_raw_14d,ml_position_raw_30d,ml_position_raw_60d,actual_direction_7d,actual_direction_14d,actual_direction_30d,actual_direction_60d,weighting_method,weighting_label,ensemble_probability,ensemble_vote_score,ensemble_actual_vote,ensemble_signal,ensemble_actual_signal,ensemble_confidence,ensemble_position,ensemble_strategy_return,buy_hold_return,ensemble_strategy_equity,buy_hold_equity,ensemble_strategy_drawdown
2016-10-06,613.02099609375,0.0,0.8253826662066502,0.8262599427830505,0.7596527235764569,0.6112325550286716,1,1,1,1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.7556319718987073,1.0,1.0,1,1,0.7556319718987073,0.0,0.0,0.0,1.0,1.0,0.0
2016-10-07,617.1209716796875,0.0066881487127896,0.818147719899455,0.8203028216254078,0.7572953144204069,0.5893206476767185,1,1,1,1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.7462666259054971,1.0,1.0,1,1,0.7462666259054971,1.0,0.0066881487127896,0.0066881487127896,1.0066881487127897,1.0066881487127897,0.0
2016-10-08,619.1079711914062,0.0032197893166885,0.8047986493684941,0.8031358410753593,0.7574482334001341,0.5783491940205466,1,1,1,1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.7359329794661335,1.0,1.0,1,1,0.7359329794661335,1.0,0.0032197893166885,0.0032197893166885,1.009929472459252,1.009929472459252,0.0
2016-10-09,616.7520141601562,-0.0038054057464583,0.7988012207330671,0.8001340948805648,0.7530206345952537,0.5679449962653218,1,1,1,1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.7299752366185519,1.0,1.0,1,1,0.7299752366185519,1.0,-0.0038054057464583,-0.0038054057464583,1.006086281041238,1.006086281041238,-0.003805405746458157
2016-10-10,618.9940185546875,0.0036351796881997,0.7949707003561305,0.8044633804344584,0.7730683283479198,0.562297000844563,1,1,1,1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.733699852495768,1.0,1.0,1,1,0.733699852495768,1.0,0.0036351796881997,0.0036351796881997,1.0097435854546555,1.0097435854546555,-0.00018405939193344434
2016-10-11,641.072021484375,0.0356675545609281,0.7080268397945614,0.7626364689027424,0.7352829712150267,0.5551671592477257,1,1,1,0,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.6902783597900141,0.75,0.5,1,1,0.5652783597900141,1.0,0.0356675545609281,0.0356675545609281,1.0457586698814068,1.0457586698814068,0.0
2016-10-12,636.1920166015625,-0.0076122568436429,0.7550194237352127,0.7899404703395767,0.7354022560924333,0.5366504520222881,1,1,1,0,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.7042531505473777,0.75,0.5,1,1,0.5792531505473777,1.0,-0.0076122568436429,-0.0076122568436429,1.037798086289803,1.037798086289803,-0.007612256843642973
2016-10-13,636.7860107421875,0.0009336711639325,0.756942773515201,0.7922121928996815,0.7384155412650828,0.5504606734234366,1,1,1,0,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.7095077952758505,0.75,0.5,1,1,0.5845077952758505,1.0,0.0009336711639325,0.0009336711639325,1.0387670484369562,1.0387670484369562,-0.006685693024417794
2016-10-14,640.3779907226562,0.005640795997202,0.7617299069902408,0.7993465503900397,0.7619915453349616,0.5517755061341186,1,1,1,0,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.7187108772123402,0.75,0.5,1,1,0.5937108772123402,1.0,0.005640795997202,0.005640795997202,1.0446265214458048,1.0446265214458048,-0.001082609657666378
2016-10-15,638.64599609375,-0.0027046442163818,0.7128593656057283,0.765777546508089,0.7582976789227511,0.5545302760008504,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6978662167593547,0.75,1.0,1,1,0.5728662167593547,1.0,-0.0027046442163818,-0.0027046442163818,1.0418011783662973,1.0418011783662973,-0.00378432580009902
2016-10-16,641.6309814453125,0.0046739279190977,0.7129813608543331,0.7682994889024584,0.7516249055423547,0.5512985270237504,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6960510705807242,0.75,1.0,1,1,0.5710510705807242,1.0,0.0046739279190977,0.0046739279190977,1.0466704819800123,1.0466704819800123,0.0
2016-10-17,639.1929931640625,-0.0037996735690011,0.6955974652691158,0.7576554219588595,0.7582460891273823,0.5476440254371109,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6897857504481171,0.75,1.0,1,1,0.5647857504481171,1.0,-0.0037996735690011,-0.0037996735690011,1.0426934758141793,1.0426934758141793,-0.0037996735690011274
2016-10-18,637.9600219726562,-0.0019289497923044,0.7487659249905395,0.7828901999837644,0.768025718124633,0.5388178740945323,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.7096249292983673,0.75,1.0,1,1,0.5846249292983673,1.0,-0.0019289497923044,-0.0019289497923044,1.0406821724505704,1.0406821724505704,-0.0057212939817636865
2016-10-19,630.52001953125,-0.0116621766022277,0.754235561818015,0.7954588934346984,0.7753140177002597,0.5315905581494101,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.7141497577755959,0.75,1.0,1,1,0.5891497577755959,1.0,-0.0116621766022277,-0.0116621766022277,1.0285455531686618,1.0285455531686618,-0.017316747843182823
2016-10-20,630.8569946289062,0.0005344399657709,0.7563051708590723,0.7939414467468099,0.7875502644427053,0.5400721663302293,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.7194672620947042,0.75,1.0,1,1,0.5944672620947042,1.0,0.0005344399657709,0.0005344399657709,1.0290952490188912,1.0290952490188912,-0.016791562639536406
2016-10-21,632.8280029296875,0.0031243345442188,0.7110131037871565,0.7673044184382903,0.7766656564349678,0.5448825940983058,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6999664431896802,0.75,1.0,1,1,0.5749664431896802,1.0,0.0031243345442188,0.0031243345442188,1.0323104868546924,1.0323104868546924,-0.013719690554523711
2016-10-22,657.2940063476562,0.0386613792447601,0.6896289278956749,0.7275971790934034,0.7424263165434204,0.5393317979289911,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6747460553653725,0.75,1.0,1,1,0.5497460553653725,1.0,0.0386613792447601,0.0386613792447601,1.0722210340853247,1.0722210340853247,0.0
2016-10-23,657.0709838867188,-0.0003393039625855,0.6585921487525195,0.6974814428474956,0.7303273772604816,0.5521027634907634,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6596259330878149,0.75,1.0,1,1,0.5346259330878149,1.0,-0.0003393039625855,-0.0003393039625855,1.0718572252396918,1.0718572252396918,-0.00033930396258563533
2016-10-24,653.760986328125,-0.0050375037701625,0.6302685642986507,0.6563186328776287,0.7247080608142891,0.5719567789850747,1,1,1,1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6458130092439108,1.0,1.0,1,1,0.6458130092439108,1.0,-0.0050375037701625,-0.0050375037701625,1.066457740426471,1.066457740426471,-0.005375098487757302
2016-10-25,657.5880126953125,0.0058538616516139,0.6217279756875673,0.6670831929563837,0.6791910236839132,0.5920548086646924,1,1,1,1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6400142502481392,1.0,1.0,1,1,0.6400142502481392,1.0,0.0058538616516139,0.0058538616516139,1.0727006364962204,1.0727006364962204,0.0
2016-10-26,678.3040161132812,0.031503012551975,0.6039201169468935,0.6485662980924307,0.6215209757174579,0.5699207860102657,1,1,1,1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.6109820441917619,1.0,1.0,1,1,0.6109820441917619,1.0,0.031503012551975,0.031503012551975,1.1064939381122725,1.1064939381122725,0.0
2016-10-27,688.31298828125,0.0147558792668229,0.5939622102220741,0.6517804830642364,0.6062728144500612,0.5226991285841877,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.5936786590801398,0.75,1.0,1,1,0.46867865908013984,1.0,0.0147558792668229,0.0147558792668229,1.1228212290725286,1.1228212290725286,0.0
2016-10-28,689.6510009765625,0.0019439015652655,0.5938672727170347,0.6543446030000992,0.5948608156445037,0.5058037047496587,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.5872190990278241,0.75,1.0,1,1,0.4622190990278241,1.0,0.0019439015652655,0.0019439015652655,1.125003883017236,1.125003883017236,0.0
2016-10-29,714.47900390625,0.0360008220020422,0.5672502296279521,0.6352356396588839,0.5679913507087905,0.4833937262305965,1,1,1,0,0,0,1,1,equal_weight_voting,Equal Weight Voting,0.5634677365565558,0.75,0.0,1,0,0.4384677365565558,1.0,0.0360008220020422,0.0360008220020422,1.165504947561346,1.165504947561346,0.0
2016-10-30,701.864013671875,-0.0176562084615579,0.5611733779468356,0.6271179786059411,0.5513630363313345,0.4613935896095184,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.5502619956234074,0.75,1.0,1,1,0.4252619956234074,1.0,-0.0176562084615579,-0.0176562084615579,1.1449265492442258,1.1449265492442258,-0.0176562084615578
2016-10-31,700.9719848632812,-0.0012709425062655,0.5946154276575161,0.637338934923388,0.5485348536586659,0.448663043667966,1,1,1,0,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.557288064976884,0.75,1.0,1,1,0.432288064976884,1.0,-0.0012709425062655,-0.0012709425062655,1.1434714134262394,1.1434714134262394,-0.01890471094199009
2016-11-01,729.7930297851562,0.0411158299393323,0.6043266932712783,0.6512055875866646,0.5461164666874925,0.4151057179072276,1,1,1,0,0,0,1,1,equal_weight_voting,Equal Weight Voting,0.5541886163631657,0.75,0.0,1,0,0.42918861636316574,1.0,0.0411158299393323,0.0411158299393323,1.1904861896011607,1.1904861896011607,0.0
2016-11-02,740.8289794921875,0.0151220267344567,0.6189380794551465,0.6562915156693822,0.5454810782289721,0.4354009262669709,1,1,1,0,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.5640278999051179,0.75,0.5,1,1,0.4390278999051179,1.0,0.0151220267344567,0.0151220267344567,1.208488753587311,1.208488753587311,0.0
2016-11-03,688.7000122070312,-0.0703657237070948,0.6071592672074859,0.5902977688398898,0.4124493769728142,0.3426636283748824,1,1,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.4881425103487681,0.25,1.0,1,1,0.1368574896512319,1.0,-0.0703657237070948,-0.0703657237070948,1.1234525678492548,1.1234525678492548,-0.07036572370709482
2016-11-04,703.2349853515625,0.0211049410293344,0.6065017675805899,0.576038452810865,0.392990131887983,0.3418216186902753,1,1,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.4793379927424283,0.25,1.0,1,1,0.14566200725757172,1.0,0.0211049410293344,0.0211049410293344,1.1471629680429678,1.1471629680429678,-0.050745847127085075
2016-11-05,703.4180297851562,0.000260289145743,0.567156125992803,0.5677787502987222,0.3795788902022088,0.3149652741132006,1,1,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.4573697601517336,0.25,1.0,1,1,0.16763023984826642,1.0,0.000260289145743,0.000260289145743,1.1474615621119477,1.1474615621119477,-0.05049876657454078
2016-11-06,711.52197265625,0.0115208063028593,0.5179085725135778,0.5493513002101873,0.3784303202630145,0.2831868080218547,0,1,0,-1,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.4322192502521586,0.0,0.5,0,1,0.06778074974784137,1.0,0.0115208063028593,0.0115208063028593,1.1606812445090158,1.1606812445090158,-0.039559746779920024
2016-11-07,703.1309814453125,-0.0117930176908132,0.5273112733932512,0.5319306406201869,0.3930181469904888,0.2829151282652896,1,1,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.4337937973173041,0.25,1.0,1,1,0.1912062026826959,0.0,-0.0,-0.0117930176908132,1.1606812445090158,1.1469933100591259,-0.039559746779920024
2016-11-08,709.8480224609375,0.0095530437327877,0.5185288154355795,0.5326451574498171,0.4257573537485252,0.2532766732703505,0,1,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.4325519999760681,0.0,1.0,0,1,0.06744800002393192,1.0,0.0095530437327877,0.0095530437327877,1.171769283197637,1.1579505873113356,-0.030384619038178906
2016-11-09,723.2730102539062,0.0189124817822641,0.5023006936835245,0.5242556600840985,0.4459473173630401,0.2457639609364357,0,1,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.4295669080167747,0.0,1.0,0,1,0.07043309198322528,0.0,0.0,0.0189124817822641,1.171769283197637,1.1798503066986232,-0.030384619038178906
2016-11-10,715.5339965820312,-0.0106999895781514,0.4909474236761821,0.5180170290500223,0.462540958695662,0.2654953842770564,0,0,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.4342501989247307,-0.25,1.0,-1,1,0.1907498010752693,0.0,-0.0,-0.0106999895781514,1.171769283197637,1.1672259207131692,-0.030384619038178906
2016-11-11,716.4110107421875,0.0012256778354984,0.4714328617281296,0.5136063666106445,0.4411633636575963,0.2797243263002338,0,0,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.42648172957415104,-0.25,1.0,-1,1,0.19851827042584896,-1.0,-0.0012256778354984,0.0012256778354984,1.1703330715589038,1.1686565636532067,-0.03157305511958208
2016-11-12,705.0540161132812,-0.0158526243435882,0.4438679664722452,0.4888631903393596,0.437185711295227,0.2785578466867966,0,0,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.41211867869840707,-0.25,1.0,-1,1,0.21288132130159293,-1.0,0.0158526243435882,-0.0158526243435882,1.1888859220992047,1.1501302901629438,-0.01622094655818407
2016-11-13,702.031005859375,-0.0042876292948036,0.4309018950342882,0.4757976543151359,0.4328862279671913,0.267268484856571,0,0,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.40171356554329657,-0.25,1.0,-1,1,0.22328643445670343,-1.0,0.0042876292948036,-0.0042876292948036,1.193983424206977,1.1451989578380002,-0.01200286666903283
2016-11-14,705.02099609375,0.0042590572345375,0.3844218449517744,0.4594867328809677,0.4459102827695521,0.2587449794789508,0,0,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.3871409600203113,-0.25,1.0,-1,1,0.2378590399796887,-1.0,-0.0042590572345375,0.0042590572345375,1.1888981804661904,1.150076425744365,-0.01621080300744826
2016-11-15,711.6190185546875,0.0093586183922105,0.3898968251246836,0.4644418537494624,0.5124328207901793,0.2724046549023504,0,0,0,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.40979403864166897,-0.25,1.0,-1,1,0.21520596135833103,-1.0,-0.0093586183922105,0.0093586183922105,1.177771736088014,1.1608395521347838,-0.02541771068048071
2016-11-16,744.197998046875,0.0457814907172606,0.3657913734780734,0.435445606817846,0.5310776522780711,0.2604407795638842,0,0,1,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.39818885303446866,0.0,1.0,0,1,0.10181114696553134,-1.0,-0.0457814907172606,0.0457814907172606,1.1238515902852488,1.2139845173150714,-0.07003554071216878
2016-11-17,740.9769897460938,-0.0043281603944578,0.3721400756135931,0.4491304205654604,0.5495957684379196,0.2689045345811674,0,0,1,-1,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.4099426997995351,0.0,0.5,0,1,0.09005730020046487,0.0,-0.0,-0.0043281603944578,1.1238515902852488,1.2087301976077434,-0.07003554071216878
2016-11-18,751.5850219726562,0.0143162775273191,0.380106848328977,0.4550088410401071,0.5530306730882988,0.2726794635868654,0,0,1,-1,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.4152064565110621,0.0,0.5,0,1,0.08479354348893792,0.0,0.0,0.0143162775273191,1.1238515902852488,1.2260347145723471,-0.07003554071216878
2016-11-19,751.6160278320312,4.125396125331804e-05,0.3895742322591747,0.4574525223023246,0.5614154705876404,0.2747821895828091,0,0,1,-1,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.4208061036829872,0.0,0.5,0,1,0.07919389631701279,0.0,0.0,4.125396125331804e-05,1.1238515902852488,1.2260852933609574,-0.07003554071216878
2016-11-20,731.0260009765625,-0.0273943424475111,0.39484481306867,0.460481789810707,0.5641247945918132,0.2787080863187327,0,0,1,-1,1,1,1,1,equal_weight_voting,Equal Weight Voting,0.4245398709474807,0.0,1.0,0,1,0.07546012905251931,0.0,-0.0,-0.0273943424475111,1.1238515902852488,1.1924974929647703,-0.07003554071216878
2016-11-21,739.2479858398438,0.0112471852605757,0.3952830544084898,0.4653486862469828,0.5595286199864558,0.2827598646874556,0,0,1,-1,0,1,1,1,equal_weight_voting,Equal Weight Voting,0.425730056332346,0.0,0.5,0,1,0.07426994366765399,0.0,0.0,0.0112471852605757,1.1238515902852488,1.2059097331909172,-0.07003554071216878
