strategy,year,annual_return,annual_max_drawdown,annual_win_rate,annual_return_drawdown_ratio,buy_hold_annual_return,beats_buy_hold
Astro Momentum Spot,2019,0.4844004014042522,-0.4402050772530661,0.5272206303724928,1.1003971249649604,0.8733281678819937,False
Astro Momentum Spot,2020,0.7502186853569823,-0.3670518629612768,0.5673469387755102,2.043903766907536,3.079644610383708,False
Astro Momentum Spot,2021,-0.2521565344113701,-0.5047110410530793,0.5057471264367817,-0.49960574249623235,0.6234276973151995,False
Astro Momentum Spot,2022,0.04077627026395092,-0.2580051868052404,0.514018691588785,0.1580443818547399,-0.651369441433624,True
Astro Momentum Spot,2023,0.9390810215469139,-0.2189900714297931,0.5030864197530864,4.288235605457472,1.6566688294851941,False
Astro Momentum Spot,2024,0.43977112871857926,-0.32537655164369117,0.5207100591715976,1.3515759709696529,1.1377736320068994,False
Astro Momentum Spot,2025,0.31384649752840055,-0.20909385934260805,0.5072886297376094,1.50098380944871,-0.060239229259568816,True
Astro Momentum Spot,2026,-0.061277789468743515,-0.3289518323699142,0.5037037037037037,-0.18628195206353243,-0.13254529530234194,True
Buy & Hold,2019,0.8733281678819937,-0.4898281300068478,0.5232876712328767,1.7829277544141546,0.8733281678819937,False
Buy & Hold,2020,3.079644610383708,-0.5186169126186413,0.5628415300546448,5.938187774929522,3.079644610383708,False
Buy & Hold,2021,0.6234276973151995,-0.5306185040984175,0.5123287671232877,1.1749075701279503,0.6234276973151995,False
Buy & Hold,2022,-0.651369441433624,-0.6673961608979895,0.4657534246575342,-0.975986197698828,-0.651369441433624,False
Buy & Hold,2023,1.6566688294851941,-0.20057773342913232,0.4986301369863014,8.259485243762239,1.6566688294851941,False
Buy & Hold,2024,1.1377736320068994,-0.26182033008476613,0.5218579234972678,4.34562752112694,1.1377736320068994,False
Buy & Hold,2025,-0.060239229259568816,-0.32146980484614396,0.4986301369863014,-0.18738689715632678,-0.060239229259568816,False
Buy & Hold,2026,-0.13254529530234194,-0.35311531742601765,0.48951048951048953,-0.3753598010658712,-0.13254529530234194,False
Hybrid Taxonomy + Momentum,2019,0.9349440685879631,-0.14085680731712602,0.5932203389830508,6.637549766998647,0.8733281678819937,True
Hybrid Taxonomy + Momentum,2020,0.41595854732217985,-0.15821074446073113,0.5737704918032787,2.629142216225544,3.079644610383708,False
Hybrid Taxonomy + Momentum,2021,0.4576011425822728,-0.2799038945652176,0.5387323943661971,1.6348509308635282,0.6234276973151995,False
Hybrid Taxonomy + Momentum,2022,-0.04263572700296614,-0.23113607281419224,0.4625,-0.18446158785972164,-0.651369441433624,True
Hybrid Taxonomy + Momentum,2023,0.6793778237927743,-0.1175699609858053,0.575,5.778498334917355,1.6566688294851941,False
Hybrid Taxonomy + Momentum,2024,0.0012360002218083643,-0.30729281073659165,0.4919786096256685,0.0040222230349145766,1.1377736320068994,False
Hybrid Taxonomy + Momentum,2025,0.3481064489557426,-0.2064263135917882,0.5089285714285714,1.6863472630922889,-0.060239229259568816,True
Hybrid Taxonomy + Momentum,2026,-0.03910632759429433,-0.27499052332566554,0.5037037037037037,-0.1422097282530043,-0.13254529530234194,True
Taxonomy Long/Short,2019,1.7137832405321034,-0.2946090857102518,0.5772870662460567,5.817143203171983,0.8733281678819937,True
Taxonomy Long/Short,2020,1.5352576316007367,-0.2513818741499725,0.5175097276264592,6.1072725978835445,3.079644610383708,False
Taxonomy Long/Short,2021,1.8685903037389497,-0.2658846170760164,0.5862068965517241,7.027824039947071,0.6234276973151995,True
Taxonomy Long/Short,2022,-0.4594072687483033,-0.5246119095582401,0.4731182795698925,-0.8757088056486486,-0.651369441433624,True
Taxonomy Long/Short,2023,0.8654117310943583,-0.2726847553339159,0.5438066465256798,3.1736711134974125,1.6566688294851941,False
Taxonomy Long/Short,2024,-0.07618788279266453,-0.362926105026114,0.46994535519125685,-0.20992670887420045,1.1377736320068994,False
Taxonomy Long/Short,2025,0.3510099968147169,-0.26699843923878386,0.5186567164179104,1.3146518676867591,-0.060239229259568816,True
Taxonomy Long/Short,2026,-0.1431390294688829,-0.3278664678564823,0.5,-0.43657721512265,-0.13254529530234194,False
Taxonomy Spot,2019,1.304061212850768,-0.1408568073171259,0.5962732919254659,9.258063118772785,0.8733281678819937,True
Taxonomy Spot,2020,2.813396762737823,-0.16416211982931217,0.5827814569536424,17.13791686939141,3.079644610383708,False
Taxonomy Spot,2021,1.51886469510681,-0.29877304083684064,0.5276872964169381,5.083673851069645,0.6234276973151995,True
Taxonomy Spot,2022,-0.5366893793445441,-0.569312223889286,0.4672897196261682,-0.9426977971386644,-0.651369441433624,True
Taxonomy Spot,2023,1.1105756681887713,-0.05219229427483585,0.5625,21.278537064124187,1.6566688294851941,False
Taxonomy Spot,2024,0.3332731253832646,-0.2685350180513404,0.5137614678899083,1.2410788276393327,1.1377736320068994,False
Taxonomy Spot,2025,0.16834056236653794,-0.2938002217349043,0.5014084507042254,0.5729762944781965,-0.060239229259568816,True
Taxonomy Spot,2026,-0.13129500601419242,-0.31857585293390367,0.48951048951048953,-0.4121310664478791,-0.13254529530234194,True
