model,feature_set,horizon_days,train_window_days,test_window_days,long_probability_threshold,short_probability_threshold,threshold_source,ml_total_return,buy_hold_return_same_period,ml_max_drawdown,buy_hold_max_drawdown_same_period,ml_sharpe_like,buy_hold_sharpe_like,return_drawdown_ratio,balanced_score,number_of_trades,direction_accuracy,direction_precision,direction_recall,prediction_start,prediction_end
RandomForestClassifier,selected_features,7,730,90,0.52,0.35,tuned,455.72016092659027,126.45311824205616,-0.6723900078201858,-0.8339900882218972,1.498372534198715,1.0853516998376629,677.7616496770747,271.47432109058633,239,0.5404558404558405,0.5782563025210085,0.576138147566719,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,90,730,90,0.52,0.35,tuned,165.76934995431145,126.45311824205616,-0.8796905398055977,-0.8339900882218972,1.1595962102104798,1.0853516998376629,188.44052817817584,86.39315612074529,166,0.617948717948718,0.6513477684489616,0.7275419545903258,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,3,730,90,0.52,0.35,tuned,101.44889588874574,126.45311824205616,-0.7891794690052664,-0.8339900882218972,1.2094826311195883,1.0853516998376629,128.5498417953252,55.14148171032404,220,0.541025641025641,0.5793140407288317,0.5668589407446251,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,14,730,90,0.52,0.32,tuned,84.25332667196196,126.45311824205616,-0.8177160070701711,-0.8339900882218972,1.1261443958565234,1.0853516998376629,103.03494849493863,44.86299323028839,196,0.5407407407407407,0.593733949666153,0.5847243297926151,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,60,730,90,0.56,0.35,tuned,70.19457659536484,126.45311824205616,-0.8445175307318873,-0.8339900882218972,1.0590311721741075,1.0853516998376629,83.1179626721684,36.67697950988921,160,0.5113960113960114,0.5686274509803921,0.593906093906094,2016-10-06,2026-05-16
RandomForestClassifier,selected_features,30,730,90,0.52,0.32,tuned,59.18927486207493,126.45311824205616,-0.832004189231522,-0.8339900882218972,1.0306675987645648,1.0853516998376629,71.14059716062839,30.913630313776352,196,0.5341880341880342,0.5800098473658296,0.6010204081632653,2016-10-06,2026-05-16
