score_category,total_importance,mean_importance,median_importance,max_feature_importance,feature_count,selected_feature_count,total_horizon_coverage,selected_feature_ratio,importance_share,rank
smoothed_score,1.4254880578559048,0.006788038370742404,0.006701713960227,0.0197832570738443,35,35,210,1.0,0.2708575732484073,1
ema_transform,0.9289207231465963,0.007372386691639653,0.007453256643627851,0.0148651159271358,21,21,126,1.0,0.17650460936872764,2
sma_transform,0.8276215475412695,0.007259838136326926,0.007362605605713317,0.0158455596527899,19,19,114,1.0,0.15725671127143145,3
rolling_max,0.7006426112186368,0.007784917902429298,0.007492966726429684,0.0208443223874459,15,15,90,1.0,0.1331293912588432,4
rolling_min,0.6019686148376223,0.00668854016486247,0.006749449822311082,0.0149850843410328,15,15,90,1.0,0.11438030454766898,5
change_transform,0.3683029874204092,0.005115319269727906,0.005342258331359867,0.0125987600114518,12,12,72,1.0,0.06998140239973494,6
planet_component,0.3358014940890662,0.00799527366878729,0.007524208420168384,0.0203875260807076,7,7,42,1.0,0.06380578025954109,7
base_score,0.07412345193899611,0.006176954328249676,0.006176954328249676,0.0092650255102835,2,2,12,1.0,0.014084227645645353,8
