feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
planet_bullish_Jupiter,0.0042025700448894,0.0,0.0042025700448894,0.0042025700448894,1.0,1.0,4202.5700448894,0.1666666666666666,1470.9428634059743,jupiter,7.0,timing,43.0,False,False,False,False,True
astro_bullish_score_roll_min_5,0.0041320181001987,0.0,0.0041320181001987,0.0041320181001987,1.0,1.0,4132.0181001987,0.1666666666666666,1446.249654543452,bullish,3.0,timing,44.0,False,False,False,False,True
astro_bullish_score_smooth_roll_min_3,0.0041200848278843,0.0,0.0041200848278843,0.0041200848278843,1.0,1.0,4120.0848278843,0.1666666666666666,1442.0730044601023,bullish,3.0,timing,45.0,False,False,False,False,True
astro_bullish_score_smooth_sma_10,0.0040702715016453,0.0,0.0040702715016453,0.0040702715016453,1.0,1.0,4070.2715016453,0.1666666666666666,1424.6383203511225,bullish,3.0,timing,46.0,False,False,False,False,True
astro_bullish_score_smooth_roll_max_10,0.004034485775767,0.0,0.004034485775767,0.004034485775767,1.0,1.0,4034.485775767,0.1666666666666666,1412.113301979427,bullish,3.0,timing,47.0,False,False,False,False,True
astro_volatility_score_sma_10,0.0040305994189183,0.0,0.0040305994189183,0.0040305994189183,1.0,1.0,4030.5994189183007,0.1666666666666666,1410.7530755278394,volatility,3.0,timing,48.0,False,False,False,False,True
astro_momentum_v2_smooth_chg_3,0.0040216369138731,0.0,0.0040216369138731,0.0040216369138731,1.0,1.0,4021.6369138731,0.1666666666666666,1407.6161951770173,other,3.0,timing,49.0,False,False,False,False,True
astro_momentum_v2_smooth_chg_10,0.0038606097376678,0.0,0.0038606097376678,0.0038606097376678,1.0,1.0,3860.6097376678,0.1666666666666666,1351.256619094292,other,3.0,timing,50.0,False,False,False,False,True
astro_momentum_v2_chg_3,0.003854924880592,0.0,0.003854924880592,0.003854924880592,1.0,1.0,3854.924880592,0.1666666666666666,1349.266916843819,other,3.0,timing,51.0,False,False,False,False,True
astro_bullish_score_smooth_ema_5,0.0038281875218679,0.0,0.0038281875218679,0.0038281875218679,1.0,1.0,3828.1875218679,0.1666666666666666,1339.9088305954406,bullish,3.0,timing,52.0,False,False,False,False,True
astro_bullish_score_smooth_ema_3,0.0037936350852445,0.0,0.0037936350852445,0.0037936350852445,1.0,1.0,3793.6350852445,0.1666666666666666,1327.8154639562758,bullish,3.0,timing,53.0,False,False,False,False,True
astro_bullish_score_smooth_roll_min_5,0.0037759395213823,0.0,0.0037759395213823,0.0037759395213823,1.0,1.0,3775.939521382301,0.1666666666666666,1321.6220095262804,bullish,3.0,timing,54.0,False,False,False,False,True
astro_bullish_score_smooth_sma_21,0.00375666551516,0.0,0.00375666551516,0.00375666551516,1.0,1.0,3756.66551516,0.1666666666666666,1314.8760996388728,bullish,3.0,timing,55.0,False,False,False,False,True
astro_bullish_score_smooth_ema_10,0.0037542494461934,0.0,0.0037542494461934,0.0037542494461934,1.0,1.0,3754.2494461934,0.1666666666666666,1314.030474534135,bullish,3.0,timing,56.0,False,False,False,False,True
astro_reversal_score_ema_30,0.0037267078169261,0.0,0.0037267078169261,0.0037267078169261,1.0,1.0,3726.7078169261,0.1666666666666666,1304.3908932739284,reversal,3.0,timing,57.0,False,False,False,False,True
astro_bearish_score_smooth_roll_min_21,0.0053694211918823,1.813743273756893e-05,0.0053822462935644,0.0053565960902003,2.0,2.0,280.5716558491972,0.3333333333333333,98.28556064902908,bearish,60.0,macro,58.0,False,False,False,False,True
astro_momentum_v2_smooth_roll_max_30,0.0050430837277712,5.579147229298364e-05,0.005082534256162,0.0050036331993805,2.0,2.0,88.80001739969511,0.3333333333333333,31.165356656717726,other,90.0,macro,59.0,False,False,False,False,True
astro_bullish_score_ema_3,0.0044721972205593,6.845951436941307e-05,0.0045206054074067,0.004423789033712,2.0,2.0,64.3856678406135,0.3333333333333333,22.62010595643628,bullish,3.0,timing,60.0,False,False,False,False,True
