variant_key,variant_label,year,strategy,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio
A_Conservative_v1_Baseline,Conservative v1 Baseline,2019,Allocation Strategy,0.31697757858078646,0.31697757858078646,-0.09087039057990198,2.104326896294804,2.90484944793714,0.1352099544811259,0.4712328767123288,0.18493150684931506,9.0,59,3.4882383200726896
A_Conservative_v1_Baseline,Conservative v1 Baseline,2019,Buy & Hold,0.8716174456068169,0.8716174456068169,-0.4898281300068478,1.2593792205944576,1.8410862647454518,0.6792177791831441,0.5205479452054794,1.0,0.0,0,1.779435259454437
A_Conservative_v1_Baseline,Conservative v1 Baseline,2020,Allocation Strategy,1.033651953321078,1.0297116400007336,-0.0886359346051997,2.8345407774691265,4.0854856142354254,0.2619440143305438,0.5491803278688525,0.36147540983606563,13.45,69,11.661770792231714
A_Conservative_v1_Baseline,Conservative v1 Baseline,2020,Buy & Hold,3.031600901707659,3.0162729798514,-0.5186169126186413,2.3245873796607124,2.562460922756376,0.7194296929899909,0.5628415300546448,1.0,0.0,0,5.8455496300733065
A_Conservative_v1_Baseline,Conservative v1 Baseline,2021,Allocation Strategy,0.42849448361268583,0.42849448361268583,-0.2863381148669928,1.1695709728501107,1.6756252341708722,0.36048718729173107,0.5013698630136987,0.40273972602739727,11.200000000000001,66,1.4964633116053245
A_Conservative_v1_Baseline,Conservative v1 Baseline,2021,Buy & Hold,0.5966792379843284,0.5966792379843284,-0.5306185040984173,0.983864801419826,1.5210959895220248,0.8030283847010404,0.5123287671232877,1.0,0.0,0,1.1244976068035095
A_Conservative_v1_Baseline,Conservative v1 Baseline,2022,Allocation Strategy,-0.32071679266942243,-0.32071679266942243,-0.35307262986406196,-1.4015671837757102,-1.6676863027290787,0.252845862494533,0.4602739726027397,0.3591780821917809,12.25,74,-0.9083592596596995
A_Conservative_v1_Baseline,Conservative v1 Baseline,2022,Buy & Hold,-0.6426524216644376,-0.6426524216644376,-0.6689381539248924,-1.2982244976361634,-1.6748235424353288,0.6345372157572284,0.4657534246575342,1.0,0.0,0,-0.9607052877665486
A_Conservative_v1_Baseline,Conservative v1 Baseline,2023,Allocation Strategy,0.49830715845087314,0.49830715845087314,-0.09369276095630319,2.4997372180058943,4.43396579285341,0.1673616364783343,0.4986301369863014,0.2568493150684931,7.0,57,5.318523580314553
A_Conservative_v1_Baseline,Conservative v1 Baseline,2023,Buy & Hold,1.554174194122552,1.554174194122552,-0.2005777334291322,2.3637427790985868,3.984779385226617,0.4370562773431199,0.4986301369863014,1.0,0.0,0,7.748488167415005
A_Conservative_v1_Baseline,Conservative v1 Baseline,2024,Allocation Strategy,0.2190090824520301,0.21834966937159694,-0.1677292462754406,0.9305488377360301,1.2151738561643677,0.2443289243272668,0.5218579234972678,0.40136612021857915,12.3,45,1.3057298432759847
A_Conservative_v1_Baseline,Conservative v1 Baseline,2024,Buy & Hold,1.21054746592571,1.2057616836679736,-0.26182033008476613,1.745606375102204,2.905598250410992,0.5347703246111739,0.5218579234972678,1.0,0.0,0,4.623580856130565
A_Conservative_v1_Baseline,Conservative v1 Baseline,2025,Allocation Strategy,0.20783188638713113,0.20783188638713113,-0.1312220281751323,1.023170877890195,1.740821706558581,0.20490747355144373,0.4986301369863014,0.4641095890410959,11.299999999999999,45,1.5838185804425562
A_Conservative_v1_Baseline,Conservative v1 Baseline,2025,Buy & Hold,-0.06336749968935496,-0.06336749968935496,-0.3214698048461443,0.05276454068227213,0.07734213273556449,0.41863119762474554,0.4986301369863014,1.0,0.0,0,-0.19711804572028993
A_Conservative_v1_Baseline,Conservative v1 Baseline,2026,Allocation Strategy,-0.06966770529564859,-0.16833124216169426,-0.21555053983280592,-0.5104910079427261,-0.6728762301900044,0.28241072966267267,0.48951048951048953,0.5877622377622379,7.25,39,-0.3232082153433115
A_Conservative_v1_Baseline,Conservative v1 Baseline,2026,Buy & Hold,-0.12030446928122318,-0.27903972824518386,-0.35311531742601765,-0.38043148271428834,-0.5165109858268457,0.5122147247675745,0.48951048951048953,1.0,0.0,0,-0.3406945644787232
B_Upside_Capture_v2,Upside Capture v2,2019,Allocation Strategy,0.42651203114132863,0.42651203114132863,-0.11329071254373435,1.9932429586096971,3.178395208338392,0.18698599866634158,0.5205479452054794,0.2780821917808219,7.949999999999999,59,3.7647572476576965
