taxonomy_v3,sample_count,sample_share,average_astro_momentum,average_momentum_slope_7d,average_ml_probability,average_confidence,average_astro_score,average_compression_score,average_bullish_score,average_bearish_score,average_reversal_score,average_volatility_score,average_event_count,average_house_activation_strength,average_prior_return_7d,average_prior_return_14d,average_prior_return_30d,average_prior_drawdown_30d,forward_return_7d,forward_return_14d,forward_return_30d,forward_return_60d,forward_return_90d,win_rate_30d,dominant_planets,dominant_aspects,dominant_natal_targets,typical_momentum_range,typical_probability_range,stability_assessment,positive_year_share,active_years,best_year_return_30d,worst_year_return_30d,return_volatility_ratio_30d
Constructive Drift,1083,0.4011111111111111,0.7243918475245014,-0.011259427122673317,0.5035635764128156,0.2641824213744137,0.7867071535587833,0.627180729455217,1.8320423130193906,1.1104138199445985,1.929022991689751,1.630378787626962,,,0.022913583372911533,0.04251811287372138,0.07075260199844303,-0.0660908465037554,0.020343635385906157,0.03689712098917552,0.07894386295908515,0.11932743836656953,0.21658880514369194,0.6223453370267775,"mars_signal (+0.08), uranus_signal (+0.07), neptune_signal (+0.03)","square_strength (+0.22), opposition_strength (+0.03), trine_strength (+0.03)","mc_target_strength (+0.20), sun_target_strength (+0.18), asc_target_strength (+0.07)",0.66 to 1.79,0.46 to 0.54,Relatively stable,0.75,8.0,0.2042380107310454,-0.0645519537919975,0.3876655764374684
High Momentum Expansion,138,0.051111111111111114,2.316437969580929,-0.025664846221928446,0.7315176984126683,0.4935338457609848,3.192918475585209,0.3574739057971015,3.4247710217391307,1.1294990579710145,3.3886173333333334,3.5215744710144925,,,0.021032441060842032,0.03926881365531769,0.06455496155887258,-0.06128603664982262,0.023362220372284047,0.04478392329087701,0.10696742611890693,0.16159374554073072,0.12657784152444673,0.6376811594202898,"saturn_signal (+0.55), mars_signal (+0.42), uranus_signal (+0.17)","trine_strength (+0.79), opposition_strength (+0.44)","mc_target_strength (-0.57), asc_target_strength (-0.43), moon_target_strength (-0.17)",0.59 to 1.14,0.60 to 0.63,Fragile,1.0,1.0,0.1069674261189069,0.1069674261189069,0.5365068834563477
Tactical Neutral,764,0.28296296296296297,0.5723819971210856,0.015366920348974722,0.6026198320352925,0.3459597619240806,0.7225973101180343,0.6390513664921467,1.6357610039267017,1.0614387748691099,1.445238914921466,1.421145373036649,,,-0.0047358889783218035,-0.007203929415510323,0.0044724489498671645,-0.1197220490797078,0.0096113169111093,0.022985599584678985,0.032528942263437624,0.12313275529437062,0.19928772684154644,0.49345549738219896,"saturn_signal (+0.45), jupiter_signal (+0.24), neptune_signal (+0.10)","conjunction_strength (+0.45), sextile_strength (+0.39)","sun_target_strength (-0.35), mc_target_strength (-0.12), moon_target_strength (-0.12)",0.23 to 1.54,0.58 to 0.61,Relatively stable,0.625,8.0,0.1786902459594344,-0.0561506862912245,0.160711830509482
Defensive / Weak Trend,70,0.025925925925925925,-0.1539711255306831,0.2664993588992573,0.28634146647819775,0.46546534839805914,-0.2504737525071676,0.5290772714285714,0.764610057142857,0.8436438714285714,0.9042230142857142,1.0471580999999999,,,0.009248090048425956,0.025541635129791025,0.10875213332037753,-0.05062343158280542,0.004280382999511803,0.02267121303901673,0.13616106200498426,0.3081975647330981,0.3198857288899002,0.8571428571428571,saturn_signal (+0.55),opposition_strength (+0.47),"mc_target_strength (-0.78), asc_target_strength (-0.60), sun_target_strength (-0.35)",0.10 to 0.48,0.27 to 0.40,Relatively stable,1.0,4.0,0.3494870414311121,0.0916745619032301,1.0785131001946375
High Volatility Risk,645,0.2388888888888889,1.174252477309887,-0.00901896373282123,0.36944751649009194,0.40109267927245335,1.4584793113995456,0.43950535813953495,2.0258379023255815,0.8487152201550389,2.1690979209302323,2.04361036124031,,,0.009653045857985593,0.023499963901056128,0.06920374259659215,-0.08396081640169387,-0.003581184214390384,-0.003792518995330335,0.01225354092228263,0.06810604098209111,0.11856544353257124,0.4697674418604651,"neptune_signal (+0.60), jupiter_signal (+0.19)","sextile_strength (+1.11), conjunction_strength (+0.83), trine_strength (+0.00)","moon_target_strength (+1.73), mc_target_strength (-0.65), sun_target_strength (-0.35)",0.53 to 1.12,0.42 to 0.43,Fragile,0.42857142857142855,7.0,0.1354668879156178,-0.0568996114007014,0.0694966196436727
