strategy,total_return,cagr,max_drawdown,sharpe_ratio,sortino_ratio,volatility,win_rate,number_of_trades,position_change_events,average_trade_return,best_trade,worst_trade,exposure_ratio,return_drawdown_ratio,beats_buy_hold_total_return,total_return_delta_vs_buy_hold,return_drawdown_ratio_delta_vs_buy_hold
Taxonomy Spot,28.28497966637878,0.578587523620026,-0.5911267045002063,1.311681340734767,1.6212814567151344,0.41282161139592255,0.5238568588469185,87,116,0.049496046843724946,0.4993568993894668,-0.2090830727751415,0.5624074074074074,47.84926725699788,True,9.25881174943888,23.02213052363843
Taxonomy Long/Short,20.2844908023805,0.5119397266384371,-0.5246119095582399,1.1944649825364129,1.4676950468607206,0.41923864958435747,0.5237381309345327,86,116,0.04697700225555283,0.4993568993894668,-0.2090830727751415,0.5818518518518518,38.66570779809682,True,1.2583228854405988,13.838571064737373
Buy & Hold,19.0261679169399,0.49953548321228425,-0.7663456370856908,0.9706164836753253,1.3222051809567508,0.6146804872138028,0.5107407407407407,1,1,19.0261679169399,19.0261679169399,19.0261679169399,1.0,24.827136733359445,False,0.0,0.0
Hybrid Taxonomy + Momentum,7.3275886024851395,0.33180477271514364,-0.3449583499001816,1.0513380935813037,1.108276387299271,0.32149808561354043,0.5290771175726928,155,200,0.01611583949543935,0.33789245662341316,-0.2558132091373698,0.3932407407407407,21.24195168664703,False,-11.698579314454761,-3.5851850467124144
Astro Momentum Spot,5.962778854911724,0.29996518702866193,-0.5627621632185513,0.7890365966842913,0.9410934758643225,0.4766629460381712,0.5190294957183634,130,152,0.02054891081893397,0.4659775079644055,-0.31466430295112047,0.7127777777777777,10.595557492368318,False,-13.063389062028177,-14.231579240991127
