feature_set,horizon_days,min_hold_days,long_probability_threshold,short_probability_threshold,threshold_source,vote_long_min,vote_short_max,total_return,max_drawdown,sharpe_like,return_drawdown_ratio,balanced_score,number_of_trades,long_signal_days,short_signal_days,flat_signal_days,avg_signal_vote_score,abs_avg_signal_vote_score,prediction_start,prediction_end,overall_rank,rank_within_horizon
selected_features,90,14,0.52,0.35,tuned,2,-2,2.391557157550852,-0.5858623996658265,0.5327496524966692,4.0821140918328025,0.8100243444233672,89,817,28,2665,2.192022792022792,2.625071225071225,2016-10-06,2026-05-16,1,1
selected_features,90,7,0.52,0.35,tuned,2,-2,0.5854705332260999,-0.5796113912525734,0.3100735716393475,1.0101087419294237,-0.4403255806382305,101,650,21,2839,2.192022792022792,2.625071225071225,2016-10-06,2026-05-16,2,2
selected_features,90,3,0.52,0.35,tuned,2,-2,0.24013453902820148,-0.5073932886993872,0.22294683680900942,0.4732710194960281,-0.6075156523834145,109,555,17,2938,2.192022792022792,2.625071225071225,2016-10-06,2026-05-16,3,3
selected_features,60,3,0.56,0.35,tuned,2,-2,-0.21981072809308222,-0.540436058911626,0.10265150541224448,-0.40672846392921097,-1.0249059579590138,119,575,69,2866,1.9393162393162393,2.398575498575499,2016-10-06,2026-05-16,4,1
selected_features,3,14,0.52,0.35,tuned,2,-2,0.07239856349122453,-0.7899030882096673,0.22240171486554244,0.09165499486186017,-1.067487692039405,99,931,95,2484,2.0094017094017094,2.549002849002849,2016-10-06,2026-05-16,5,1
selected_features,60,14,0.56,0.35,tuned,2,-2,-0.051724261382553705,-0.7287682233974235,0.18657720793813412,-0.07097491317804976,-1.0693705175188086,97,820,109,2581,1.9393162393162393,2.398575498575499,2016-10-06,2026-05-16,6,2
selected_features,7,14,0.52,0.35,tuned,2,-2,-0.02808468720671753,-0.8052694602518385,0.19508376574070757,-0.034876135992956164,-1.1477081406661571,97,919,95,2496,1.9923076923076923,2.5376068376068375,2016-10-06,2026-05-16,7,1
selected_features,60,7,0.56,0.35,tuned,2,-2,-0.34162346943768374,-0.6286908207897238,0.06714665900186836,-0.5433886707754962,-1.1915269703229052,109,669,82,2759,1.9393162393162393,2.398575498575499,2016-10-06,2026-05-16,8,3
selected_features,3,3,0.52,0.35,tuned,2,-2,-0.25144270825169646,-0.6772551504975188,0.09867883314699002,-0.3712673252717,-1.207717624050301,123,670,72,2768,2.0094017094017094,2.549002849002849,2016-10-06,2026-05-16,9,2
selected_features,7,3,0.52,0.35,tuned,2,-2,-0.3223496137604742,-0.6972026630803841,0.06862998764608716,-0.46234707758611765,-1.2786571328197156,121,665,72,2773,1.9923076923076923,2.5376068376068375,2016-10-06,2026-05-16,10,2
selected_features,30,3,0.52,0.32,tuned,2,-2,-0.5477663994916635,-0.714198251246468,-0.053874830718887295,-0.7669668730435336,-1.4753272992659012,123,628,58,2824,2.0142450142450143,2.4205128205128204,2016-10-06,2026-05-16,11,1
selected_features,14,3,0.52,0.32,tuned,2,-2,-0.48823131460990987,-0.7489971928255894,-0.012378090812397926,-0.6518466548159665,-1.4754175481624923,129,646,78,2786,2.0085470085470085,2.58005698005698,2016-10-06,2026-05-16,12,1
selected_features,3,7,0.52,0.35,tuned,2,-2,-0.4918805628744479,-0.7883340430853101,0.006077304989165762,-0.6239494122940201,-1.477644548431568,111,770,81,2659,2.0094017094017094,2.549002849002849,2016-10-06,2026-05-16,13,3
selected_features,14,14,0.52,0.32,tuned,2,-2,-0.41116582256651524,-0.8675483194274576,0.06517909323141165,-0.47393996779091907,-1.4857604569814664,103,909,109,2492,2.0085470085470085,2.58005698005698,2016-10-06,2026-05-16,14,2
selected_features,30,14,0.52,0.32,tuned,2,-2,-0.458102576976548,-0.852596488581323,0.04110350289624653,-0.5373029130565706,-1.4862507404172458,95,892,81,2537,2.0142450142450143,2.4205128205128204,2016-10-06,2026-05-16,15,2
selected_features,7,7,0.52,0.35,tuned,2,-2,-0.5029196327531809,-0.7916600965964956,-0.002590655587194274,-0.6352721766770013,-1.486412175362492,109,765,81,2664,1.9923076923076923,2.5376068376068375,2016-10-06,2026-05-16,16,3
selected_features,30,7,0.52,0.32,tuned,2,-2,-0.577859722355853,-0.7906310078393904,-0.05039274965568376,-0.7308842135283923,-1.5314609815911617,103,728,67,2715,2.0142450142450143,2.4205128205128204,2016-10-06,2026-05-16,17,3
selected_features,14,7,0.52,0.32,tuned,2,-2,-0.5600335359181441,-0.7925714428033127,-0.03230838926551437,-0.7066032229691677,-1.5413529451163477,115,752,88,2670,2.0085470085470085,2.58005698005698,2016-10-06,2026-05-16,18,3
