stage,best_horizon_days,selected_feature_count,selected_raw_aspect_features,selected_planet_features,selected_natal_target_features,balanced_score,return_drawdown_ratio,accuracy,raw_aspect_feature_list,planet_feature_list,natal_target_feature_list,delta_selected_raw_aspect_features,delta_selected_planet_features,delta_balanced_score,delta_return_drawdown_ratio,delta_accuracy
before_recovery,7,136,0,7,0,490.8219128121512,1243.320739073129,0.5598290598290598,none,"planet_bullish_Jupiter, planet_bullish_Saturn, planet_reversal_Pluto, planet_trend_end_Pluto, planet_trend_start_Jupiter, planet_trend_start_Pluto, planet_volatility_Pluto",none,,,,,
after_recovery,14,147,5,15,4,319.05932068461226,788.4417869572391,0.5826210826210826,"conjunction_strength, opposition_strength, sextile_strength, square_strength, trine_strength","jupiter_signal, mars_signal, mercury_signal, moon_signal, neptune_signal, planet_bullish_Jupiter, planet_trend_end_Pluto, planet_trend_start_Jupiter, planet_trend_start_Pluto, planet_volatility_Pluto, pluto_signal, saturn_signal, sun_signal, uranus_signal, venus_signal","asc_target_strength, mc_target_strength, moon_target_strength, sun_target_strength",5.0,8.0,-171.76259212753894,-454.87895211589,0.022792022792022748
