regime,component_type,component_name,regime_row_count,mapped_feature_count,selected_feature_count,selected_support_ratio,stable_feature_share,feature_importance_raw,stability_score_raw,stability_support_raw,predictive_contribution_raw,predictive_consistency_raw,valid_predictive_horizon_count,mapped_features,selected_features,raw_bullish_total,raw_bearish_total,raw_reversal_total,raw_volatility_total,feature_importance_score,stability_score,predictive_contribution_score,predictive_consistency_score,coverage_score,regime_importance_score,confidence_score,bullish_contribution_score,bearish_contribution_score,reversal_contribution_score,volatility_contribution_score,rank,component_global_mean_score,relative_regime_strength,dynamic_weight_recommendation
Bull Market,natal_target,Sun,1458,1,1,1.0,0.0,0.029725059358216684,1.7520347894714914,4.6421657845685855,0.07285241761118635,0.27868397004073914,6,sun_target_strength,sun_target_strength,786.5855912833214,441.85533895162683,837.2607022434089,535.281309924532,1.0,0.0010493985356268309,0.7552309454979048,0.0,1.0,0.714540710631392,63.9,0.5937261818044046,0.714540710631392,0.714540710631392,0.714540710631392,1,0.6897928095274815,1.035877296431755,keep near global
Bull Market,natal_target,Asc,1458,1,1,1.0,0.0,0.013733635214574477,0.0,0.0,0.09081723831509497,0.4960749765461647,6,asc_target_strength,asc_target_strength,355.86847535634024,34.938428344388775,104.37198012390517,189.0601537506858,0.3780688019854918,0.0,1.0,0.8546975380540217,1.0,0.644517200496373,78.55,0.23614366555112098,0.04309305180708282,0.02828877932831114,0.19740046229673588,2,0.46125817318563067,1.3973025042463383,increase in this regime
Bull Market,natal_target,MC,1458,1,1,1.0,1.0,0.02004803315585459,1669.5609246538152,4770.0495713352,0.017422254866503676,0.5330324346454017,6,mc_target_strength,mc_target_strength,943.3578058564548,5.782147293501108,342.88024970174854,393.1541687359093,0.6236454961614142,1.0,0.0,1.0,1.0,0.5559113740403535,75.0,0.5559113740403535,0.0,0.19737268644627237,0.3975988057832677,3,0.5559113740403535,1.0,keep near global
Bull Market,natal_target,Moon,1458,1,1,1.0,0.0,0.004012530070902874,0.0,0.0,0.03536527151662615,0.4759655273535233,6,moon_target_strength,moon_target_strength,16.150369002876587,81.56245226488757,70.72775564469656,36.20473491572368,0.0,0.0,0.24447197624467698,0.7756349448361,1.0,0.285565191685637,58.87,0.0,0.04962519533215328,0.0,0.0,4,0.3843306630278146,0.7430195380090456,decrease in this regime
Bear Market,natal_target,Sun,655,1,1,1.0,0.0,0.029725059358216684,1.7520347894714914,4.6421657845685855,0.16041592277263506,0.31237354864607003,6,sun_target_strength,sun_target_strength,419.81693205659604,188.0157323865249,381.4729441288547,219.80012984019965,1.0,0.0010493985356268309,1.0,0.053972115125644336,1.0,0.8002098797071253,70.56,0.8002098797071253,0.8002098797071253,0.8002098797071253,0.6991187946896863,1,0.6897928095274815,1.1600728054200524,keep near global
Bear Market,natal_target,MC,655,1,1,1.0,1.0,0.02004803315585459,1669.5609246538152,4770.0495713352,0.03553187530335214,0.30583587747168794,6,mc_target_strength,mc_target_strength,321.25360718640553,31.803940475776233,213.35074518046255,247.86416530712592,0.6236454961614142,1.0,0.0,0.0,1.0,0.5559113740403535,65.0,0.4253962157065617,0.034872769022319186,0.3010148100786262,0.5559113740403535,2,0.5559113740403535,1.0,keep near global
Bear Market,natal_target,Asc,655,1,1,1.0,0.0,0.013733635214574477,0.0,0.0,0.06163831808357147,0.32471027404057184,6,asc_target_strength,asc_target_strength,42.60537064210004,91.7296657548622,62.23323881923641,60.007185732787015,0.3780688019854918,0.0,0.20904545703998417,0.1558186512247078,1.0,0.3676831104603674,51.78,0.03731453879971737,0.15526690078385244,0.04755490374344609,0.056755102380206944,3,0.46125817318563067,0.7971308300533798,decrease in this regime
Bear Market,natal_target,Moon,655,1,1,1.0,0.0,0.004012530070902874,0.0,0.0,0.07895322376960662,0.42696641236295024,6,moon_target_strength,moon_target_strength,0.0,21.34878862061269,14.810321567494794,25.716797503016107,0.0,0.0,0.34769331508841916,1.0,1.0,0.3216926602809467,63.69,0.0,0.0,0.0,0.0,4,0.3843306630278146,0.8370205430568658,keep near global
Sideways,natal_target,Sun,2141,1,1,1.0,0.0,0.029725059358216684,1.7520347894714914,4.6421657845685855,0.054145184713873036,0.7273284742545918,6,sun_target_strength,sun_target_strength,1252.6103623796957,566.3555716130578,1073.6297161869459,698.174777211451,1.0,0.0010493985356268309,0.3627709032779421,1.0,1.0,0.5771796958544051,64.09,0.5771796958544051,0.5771796958544051,0.5771796958544051,0.5771796958544051,1,0.6897928095274815,0.8367435668831948,keep near global
Sideways,natal_target,MC,2141,1,1,1.0,1.0,0.02004803315585459,1669.5609246538152,4770.0495713352,0.046068790858001786,0.5610482067084726,6,mc_target_strength,mc_target_strength,1199.3497611240502,66.98277325901147,577.587080583565,689.7297157388341,0.6236454961614142,1.0,0.0,0.32274014774554505,1.0,0.5559113740403535,68.23,0.5321582335797351,0.025609036132631015,0.2876306247284929,0.5486886059709805,2,0.5559113740403535,1.0,keep near global
